# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=quad_creek_oct31_release_version
# Date=12:25:39
# CreatedBy=Fritzing 1.0.4.2024-10-07.1.0.4rc1-4-ga8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
100k,"220;;;;;0.25W;;;","THT",4180.46,3261.37,90,Top,THT
22k,"220;;;;;0.25W;;;","THT",229.356,2362.61,90,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",5480.46,2536.37,90,Top,THT
Via76,";;;;;;;;","",4930.45,3036.37,0,Top,MANUAL
Via101,";;;;;;;;","",3830.45,1461.37,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",1904.36,912.611,0,Top,THT
Via224,";;;;;;;;","",9126.44,536.548,0,Top,MANUAL
Via106,";;;;;;;;","",3630.45,3011.37,0,Top,MANUAL
Via158,";;;;;;;;","",2429.35,637.615,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",4080.46,4636.37,90,Top,THT
Via211,";;;;;;;;","",10580.5,286.361,0,Top,MANUAL
-,"220;;;;;0.25W;;;","THT",4930.46,3061.37,180,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",7226.17,832.078,135,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4055.46,2736.37,0,Top,THT
Via169,";;;;;;;;","",2654.36,1187.61,0,Top,MANUAL
Via60,";;;;;;;;","",5155.46,1786.36,0,Top,MANUAL
Via240,";;;;;;;;","",3333.1,3946.18,0,Top,MANUAL
ʃ,"220;;;;;0.25W;;;","THT",4405.46,3261.37,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",8255.46,4136.37,1.90833e-14,Top,THT
Via173,";;;;;;;;","",404.361,1787.61,0,Top,MANUAL
1M,"220;;;;;0.25W;;;","THT",4778.67,933.311,0,Top,THT
-,"220;;;;;0.25W;;;","THT",1288.58,4360.84,-20.1906,Top,THT
Via163,";;;;;;;;","",654.352,1662.61,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",1104.36,5212.61,-90,Top,THT
-,";;;;;;;;","TO92 [THT]",4462.96,2639.87,180,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",10677.5,1399.39,-90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2554.36,1487.61,0,Top,THT
-,"220;;;;;0.25W;;;","THT",7080.46,2061.37,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",4005.46,811.367,0,Top,THT
Via239,";;;;;;;;","",3817.61,4691.9,0,Top,MANUAL
-,";;;;;;;;","TO92 [THT]",1082.86,2180.11,-90,Top,THT
R12,";;;;;0.5W;;;","THT",3630.44,4445.75,-90,Top,THT
100k,"220;;;;;0.25W;;;","THT",3530.46,5111.37,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1754.36,4087.62,90,Top,THT
Via238,";;;;;;;;","",3661.72,4801.44,0,Top,MANUAL
-,";;;;;;;;","TO92 [THT]",8858.96,2178.87,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",10280.5,4011.37,1.59028e-15,Top,THT
Via242,";;;;;;;;","",7046.93,4670.48,0,Top,MANUAL
Via170,";;;;;;;;","",2654.36,1787.61,0,Top,MANUAL
Via62,";;;;;;;;","",7030.46,1786.36,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",8066.83,5211.37,90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",105.456,1236.37,-90,Top,THT
1k,"220;;;;;0.25W;;;","THT",1079.36,762.611,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8555.46,1486.37,180,Top,THT
Via248,";;;;;;;;","",7613.44,4557.18,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1079.36,537.611,90,Top,THT
Via197,";;;;;;;;","",8955.45,2036.37,0,Top,MANUAL
Via94,";;;;;;;;","",5180.45,3986.37,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",9280.46,2136.37,0,Top,THT
Via77,";;;;;;;;","",5155.45,3411.37,0,Top,MANUAL
Via250,";;;;;;;;","",8216.59,4966.18,0,Top,MANUAL
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4378.39,5336.78,0,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",5130.46,2411.37,90,Top,THT
1M,"220;;;;;0.25W;;;","THT",2005.4,3014.89,-104.098,Top,THT
220k,"220;;;;;0.25W;;;","THT",9030.46,2273.87,-90,Top,THT
Via227,";;;;;;;;","",9074.75,5116.51,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",2654.36,2362.61,90,Top,THT
R13,";;;;;0.5W;;;","THT",5430.44,4445.75,-90,Top,THT
